Listing the mapping from points of 1964 dataset to those of 1968 dataset
Matched (786, 252) to point (822, 245) with cost = 1
Matched (785, 252) to point (821, 245) with cost = 0
Matched (784, 252) to point (821, 245) with cost = 1.41421
Matched (783, 252) to point (820, 245) with cost = 1
Matched (782, 252) to point (820, 245) with cost = 1.41421
Matched (782, 252) to point (819, 245) with cost = 1
Matched (781, 252) to point (819, 245) with cost = 1
Matched (780, 252) to point (818, 245) with cost = 1
Matched (780, 251) to point (818, 246) with cost = 1
Matched (779, 251) to point (818, 246) with cost = 1.41421
Matched (778, 251) to point (818, 246) with cost = 1
Matched (777, 251) to point (818, 246) with cost = 1
Matched (776, 251) to point (817, 246) with cost = 0
Matched (776, 251) to point (816, 246) with cost = 1
Matched (775, 251) to point (815, 246) with cost = 0
Matched (774, 251) to point (815, 246) with cost = 1.41421
Matched (773, 251) to point (815, 247) with cost = 1
Matched (772, 251) to point (815, 247) with cost = 1
Matched (771, 251) to point (814, 247) with cost = 1.41421
Matched (770, 251) to point (814, 248) with cost = 1.41421
Matched (769, 251) to point (813, 248) with cost = 0
Matched (769, 252) to point (812, 248) with cost = 1.41421
Matched (768, 252) to point (812, 249) with cost = 0
Matched (767, 252) to point (811, 249) with cost = 0
Matched (766, 252) to point (810, 249) with cost = 1.41421
Matched (765, 252) to point (809, 249) with cost = 1
Matched (764, 252) to point (809, 249) with cost = 0
Matched (763, 252) to point (809, 250) with cost = 1
Matched (762, 252) to point (808, 250) with cost = 0
Matched (761, 252) to point (808, 250) with cost = 1.41421
Matched (760, 252) to point (807, 250) with cost = 2
Matched (759, 252) to point (807, 251) with cost = 2
Matched (758, 252) to point (806, 251) with cost = 3.16228
Matched (758, 253) to point (806, 252) with cost = 3.16228
Matched (757, 253) to point (805, 252) with cost = 3.16228
Matched (756, 253) to point (805, 252) with cost = 3.16228
Matched (755, 253) to point (804, 252) with cost = 3.60555
Matched (754, 253) to point (804, 252) with cost = 3.16228
Matched (753, 253) to point (803, 252) with cost = 2
Matched (752, 253) to point (802, 252) with cost = 3.16228
Matched (752, 254) to point (802, 253) with cost = 3.16228
Matched (751, 254) to point (801, 253) with cost = 3.16228
Matched (751, 254) to point (800, 253) with cost = 3.16228
Matched (751, 255) to point (799, 253) with cost = 3
Matched (750, 255) to point (798, 253) with cost = 3
Matched (749, 255) to point (797, 253) with cost = 3
Matched (748, 255) to point (796, 253) with cost = 3
Matched (747, 255) to point (795, 253) with cost = 3
Matched (746, 255) to point (795, 253) with cost = 3
Matched (745, 255) to point (794, 253) with cost = 2.23607
Matched (744, 255) to point (793, 253) with cost = 1
Matched (743, 255) to point (793, 252) with cost = 2
Matched (742, 255) to point (792, 252) with cost = 1
Matched (741, 255) to point (792, 252) with cost = 0
Matched (741, 255) to point (792, 252) with cost = 0
